date,admin1,market,commodity,unit,price,currency,source
2020-02-01,Kenya,Nairobi,Cooking oil (vegetable),L,300.16,KES,Sample Data
2020-02-01,Kenya,Mombasa,Cooking oil (vegetable),L,303.55,KES,Sample Data
2020-02-01,Kenya,Kisumu,Cooking oil (vegetable),L,302.74,KES,Sample Data
2020-02-01,Kenya,Nakuru,Cooking oil (vegetable),L,313.75,KES,Sample Data
2020-02-01,Kenya,Eldoret,Cooking oil (vegetable),L,321.19,KES,Sample Data
2020-02-01,Kenya,Nairobi,Milk (fresh),L,64.42,KES,Sample Data
2020-02-01,Kenya,Mombasa,Milk (fresh),L,64.79,KES,Sample Data
2020-02-01,Kenya,Kisumu,Milk (fresh),L,63.24,KES,Sample Data
2020-02-01,Kenya,Nakuru,Milk (fresh),L,66.01,KES,Sample Data
2020-02-01,Kenya,Eldoret,Milk (fresh),L,64.71,KES,Sample Data
2020-02-01,Kenya,Nairobi,Eggs,Piece,16.09,KES,Sample Data
2020-02-01,Kenya,Mombasa,Eggs,Piece,16.48,KES,Sample Data
2020-02-01,Kenya,Kisumu,Eggs,Piece,16.09,KES,Sample Data
2020-02-01,Kenya,Nakuru,Eggs,Piece,16.9,KES,Sample Data
2020-02-01,Kenya,Eldoret,Eggs,Piece,16.84,KES,Sample Data
2020-03-01,Kenya,Nairobi,Maize (white),KG,51.0,KES,Sample Data
2020-03-01,Kenya,Mombasa,Maize (white),KG,50.57,KES,Sample Data
2020-03-01,Kenya,Kisumu,Maize (white),KG,51.88,KES,Sample Data
2020-03-01,Kenya,Nakuru,Maize (white),KG,48.99,KES,Sample Data
2020-03-01,Kenya,Eldoret,Maize (white),KG,50.8,KES,Sample Data
2020-03-01,Kenya,Nairobi,Rice,KG,128.38,KES,Sample Data
2020-03-01,Kenya,Mombasa,Rice,KG,131.05,KES,Sample Data
2020-03-01,Kenya,Kisumu,Rice,KG,130.36,KES,Sample Data
2020-03-01,Kenya,Nakuru,Rice,KG,132.99,KES,Sample Data
2020-03-01,Kenya,Eldoret,Rice,KG,129.77,KES,Sample Data
2020-03-01,Kenya,Nairobi,Wheat flour,KG,59.47,KES,Sample Data
2020-03-01,Kenya,Mombasa,Wheat flour,KG,63.81,KES,Sample Data
2020-03-01,Kenya,Kisumu,Wheat flour,KG,62.48,KES,Sample Data
2020-03-01,Kenya,Nakuru,Wheat flour,KG,61.92,KES,Sample Data
2020-03-01,Kenya,Eldoret,Wheat flour,KG,60.15,KES,Sample Data
2020-03-01,Kenya,Nairobi,Beans (dry),KG,127.48,KES,Sample Data
2020-03-01,Kenya,Mombasa,Beans (dry),KG,124.75,KES,Sample Data
2020-03-01,Kenya,Kisumu,Beans (dry),KG,121.54,KES,Sample Data
2020-03-01,Kenya,Nakuru,Beans (dry),KG,127.76,KES,Sample Data
2020-03-01,Kenya,Eldoret,Beans (dry),KG,126.46,KES,Sample Data
2020-03-01,Kenya,Nairobi,Sugar,KG,140.01,KES,Sample Data
2020-03-01,Kenya,Mombasa,Sugar,KG,150.71,KES,Sample Data
2020-03-01,Kenya,Kisumu,Sugar,KG,139.02,KES,Sample Data
2020-03-01,Kenya,Nakuru,Sugar,KG,147.68,KES,Sample Data
2020-03-01,Kenya,Eldoret,Sugar,KG,141.32,KES,Sample Data
2020-03-01,Kenya,Nairobi,Cooking oil (vegetable),L,319.11,KES,Sample Data
2020-03-01,Kenya,Mombasa,Cooking oil (vegetable),L,305.61,KES,Sample Data
2020-03-01,Kenya,Kisumu,Cooking oil (vegetable),L,305.94,KES,Sample Data
2020-03-01,Kenya,Nakuru,Cooking oil (vegetable),L,320.52,KES,Sample Data
2020-03-01,Kenya,Eldoret,Cooking oil (vegetable),L,323.72,KES,Sample Data
2020-03-01,Kenya,Nairobi,Milk (fresh),L,67.62,KES,Sample Data
2020-03-01,Kenya,Mombasa,Milk (fresh),L,66.42,KES,Sample Data
2020-03-01,Kenya,Kisumu,Milk (fresh),L,65.67,KES,Sample Data
2020-03-01,Kenya,Nakuru,Milk (fresh),L,66.51,KES,Sample Data
2020-03-01,Kenya,Eldoret,Milk (fresh),L,68.03,KES,Sample Data
2020-03-01,Kenya,Nairobi,Eggs,Piece,16.8,KES,Sample Data
2020-03-01,Kenya,Mombasa,Eggs,Piece,16.79,KES,Sample Data
2020-03-01,Kenya,Kisumu,Eggs,Piece,17.13,KES,Sample Data
2020-03-01,Kenya,Nakuru,Eggs,Piece,16.09,KES,Sample Data
2020-03-01,Kenya,Eldoret,Eggs,Piece,16.3,KES,Sample Data
2020-04-01,Kenya,Nairobi,Maize (white),KG,52.29,KES,Sample Data
2020-04-01,Kenya,Mombasa,Maize (white),KG,49.47,KES,Sample Data
2020-04-01,Kenya,Kisumu,Maize (white),KG,51.98,KES,Sample Data
2020-04-01,Kenya,Nakuru,Maize (white),KG,52.24,KES,Sample Data
2020-04-01,Kenya,Eldoret,Maize (white),KG,51.8,KES,Sample Data
2020-04-01,Kenya,Nairobi,Rice,KG,132.21,KES,Sample Data
2020-04-01,Kenya,Mombasa,Rice,KG,131.26,KES,Sample Data
2020-04-01,Kenya,Kisumu,Rice,KG,134.27,KES,Sample Data
2020-04-01,Kenya,Nakuru,Rice,KG,136.11,KES,Sample Data
2020-04-01,Kenya,Eldoret,Rice,KG,128.59,KES,Sample Data
2020-04-01,Kenya,Nairobi,Wheat flour,KG,64.03,KES,Sample Data
2020-04-01,Kenya,Mombasa,Wheat flour,KG,61.33,KES,Sample Data
2020-04-01,Kenya,Kisumu,Wheat flour,KG,62.64,KES,Sample Data
2020-04-01,Kenya,Nakuru,Wheat flour,KG,62.4,KES,Sample Data
2020-04-01,Kenya,Eldoret,Wheat flour,KG,60.08,KES,Sample Data
2020-04-01,Kenya,Nairobi,Beans (dry),KG,126.07,KES,Sample Data
2020-04-01,Kenya,Mombasa,Beans (dry),KG,127.3,KES,Sample Data
2020-04-01,Kenya,Kisumu,Beans (dry),KG,122.48,KES,Sample Data
2020-04-01,Kenya,Nakuru,Beans (dry),KG,124.2,KES,Sample Data
2020-04-01,Kenya,Eldoret,Beans (dry),KG,125.87,KES,Sample Data
2020-04-01,Kenya,Nairobi,Sugar,KG,142.48,KES,Sample Data
2020-04-01,Kenya,Mombasa,Sugar,KG,139.37,KES,Sample Data
2020-04-01,Kenya,Kisumu,Sugar,KG,138.48,KES,Sample Data
2020-04-01,Kenya,Nakuru,Sugar,KG,145.29,KES,Sample Data
2020-04-01,Kenya,Eldoret,Sugar,KG,145.91,KES,Sample Data
2020-04-01,Kenya,Nairobi,Cooking oil (vegetable),L,299.04,KES,Sample Data
2020-04-01,Kenya,Mombasa,Cooking oil (vegetable),L,307.57,KES,Sample Data
2020-04-01,Kenya,Kisumu,Cooking oil (vegetable),L,312.33,KES,Sample Data
2020-04-01,Kenya,Nakuru,Cooking oil (vegetable),L,303.33,KES,Sample Data
2020-04-01,Kenya,Eldoret,Cooking oil (vegetable),L,299.65,KES,Sample Data
2020-04-01,Kenya,Nairobi,Milk (fresh),L,66.98,KES,Sample Data
2020-04-01,Kenya,Mombasa,Milk (fresh),L,67.65,KES,Sample Data
2020-04-01,Kenya,Kisumu,Milk (fresh),L,69.79,KES,Sample Data
2020-04-01,Kenya,Nakuru,Milk (fresh),L,65.7,KES,Sample Data
2020-04-01,Kenya,Eldoret,Milk (fresh),L,65.34,KES,Sample Data
2020-04-01,Kenya,Nairobi,Eggs,Piece,16.05,KES,Sample Data
2020-04-01,Kenya,Mombasa,Eggs,Piece,17.38,KES,Sample Data
2020-04-01,Kenya,Kisumu,Eggs,Piece,17.01,KES,Sample Data
2020-04-01,Kenya,Nakuru,Eggs,Piece,16.2,KES,Sample Data
2020-04-01,Kenya,Eldoret,Eggs,Piece,16.33,KES,Sample Data
2020-05-01,Kenya,Nairobi,Maize (white),KG,49.75,KES,Sample Data
2020-05-01,Kenya,Mombasa,Maize (white),KG,47.71,KES,Sample Data
2020-05-01,Kenya,Kisumu,Maize (white),KG,49.91,KES,Sample Data
2020-05-01,Kenya,Nakuru,Maize (white),KG,49.27,KES,Sample Data
2020-05-01,Kenya,Eldoret,Maize (white),KG,47.59,KES,Sample Data
2020-05-01,Kenya,Nairobi,Rice,KG,133.15,KES,Sample Data
2020-05-01,Kenya,Mombasa,Rice,KG,125.47,KES,Sample Data
2020-05-01,Kenya,Kisumu,Rice,KG,124.56,KES,Sample Data
2020-05-01,Kenya,Nakuru,Rice,KG,132.62,KES,Sample Data
2020-05-01,Kenya,Eldoret,Rice,KG,125.03,KES,Sample Data
2020-05-01,Kenya,Nairobi,Wheat flour,KG,59.43,KES,Sample Data
2020-05-01,Kenya,Mombasa,Wheat flour,KG,59.22,KES,Sample Data
2020-05-01,Kenya,Kisumu,Wheat flour,KG,60.24,KES,Sample Data
2020-05-01,Kenya,Nakuru,Wheat flour,KG,56.96,KES,Sample Data
2020-05-01,Kenya,Eldoret,Wheat flour,KG,60.29,KES,Sample Data
2020-05-01,Kenya,Nairobi,Beans (dry),KG,123.22,KES,Sample Data
2020-05-01,Kenya,Mombasa,Beans (dry),KG,115.27,KES,Sample Data
2020-05-01,Kenya,Kisumu,Beans (dry),KG,120.72,KES,Sample Data
2020-05-01,Kenya,Nakuru,Beans (dry),KG,120.1,KES,Sample Data
2020-05-01,Kenya,Eldoret,Beans (dry),KG,120.06,KES,Sample Data
2020-05-01,Kenya,Nairobi,Sugar,KG,142.74,KES,Sample Data
2020-05-01,Kenya,Mombasa,Sugar,KG,141.44,KES,Sample Data
2020-05-01,Kenya,Kisumu,Sugar,KG,139.24,KES,Sample Data
2020-05-01,Kenya,Nakuru,Sugar,KG,146.53,KES,Sample Data
2020-05-01,Kenya,Eldoret,Sugar,KG,135.22,KES,Sample Data
2020-05-01,Kenya,Nairobi,Cooking oil (vegetable),L,289.95,KES,Sample Data
2020-05-01,Kenya,Mombasa,Cooking oil (vegetable),L,308.41,KES,Sample Data
2020-05-01,Kenya,Kisumu,Cooking oil (vegetable),L,298.32,KES,Sample Data
2020-05-01,Kenya,Nakuru,Cooking oil (vegetable),L,289.06,KES,Sample Data
2020-05-01,Kenya,Eldoret,Cooking oil (vegetable),L,296.82,KES,Sample Data
2020-05-01,Kenya,Nairobi,Milk (fresh),L,66.17,KES,Sample Data
2020-05-01,Kenya,Mombasa,Milk (fresh),L,67.37,KES,Sample Data
2020-05-01,Kenya,Kisumu,Milk (fresh),L,66.93,KES,Sample Data
2020-05-01,Kenya,Nakuru,Milk (fresh),L,63.04,KES,Sample Data
2020-05-01,Kenya,Eldoret,Milk (fresh),L,66.95,KES,Sample Data
2020-05-01,Kenya,Nairobi,Eggs,Piece,16.11,KES,Sample Data
2020-05-01,Kenya,Mombasa,Eggs,Piece,16.67,KES,Sample Data
2020-05-01,Kenya,Kisumu,Eggs,Piece,16.91,KES,Sample Data
2020-05-01,Kenya,Nakuru,Eggs,Piece,16.14,KES,Sample Data
2020-05-01,Kenya,Eldoret,Eggs,Piece,16.65,KES,Sample Data
2020-06-01,Kenya,Nairobi,Maize (white),KG,48.61,KES,Sample Data
2020-06-01,Kenya,Mombasa,Maize (white),KG,48.33,KES,Sample Data
2020-06-01,Kenya,Kisumu,Maize (white),KG,48.62,KES,Sample Data
2020-06-01,Kenya,Nakuru,Maize (white),KG,44.54,KES,Sample Data
2020-06-01,Kenya,Eldoret,Maize (white),KG,44.81,KES,Sample Data
2020-06-01,Kenya,Nairobi,Rice,KG,130.32,KES,Sample Data
2020-06-01,Kenya,Mombasa,Rice,KG,125.76,KES,Sample Data
2020-06-01,Kenya,Kisumu,Rice,KG,124.15,KES,Sample Data
2020-06-01,Kenya,Nakuru,Rice,KG,122.71,KES,Sample Data
2020-06-01,Kenya,Eldoret,Rice,KG,128.0,KES,Sample Data
2020-06-01,Kenya,Nairobi,Wheat flour,KG,58.9,KES,Sample Data
2020-06-01,Kenya,Mombasa,Wheat flour,KG,57.17,KES,Sample Data
2020-06-01,Kenya,Kisumu,Wheat flour,KG,57.47,KES,Sample Data
2020-06-01,Kenya,Nakuru,Wheat flour,KG,59.4,KES,Sample Data
2020-06-01,Kenya,Eldoret,Wheat flour,KG,55.04,KES,Sample Data
2020-06-01,Kenya,Nairobi,Beans (dry),KG,117.28,KES,Sample Data
2020-06-01,Kenya,Mombasa,Beans (dry),KG,109.78,KES,Sample Data
2020-06-01,Kenya,Kisumu,Beans (dry),KG,116.6,KES,Sample Data
2020-06-01,Kenya,Nakuru,Beans (dry),KG,117.92,KES,Sample Data
2020-06-01,Kenya,Eldoret,Beans (dry),KG,109.51,KES,Sample Data
2020-06-01,Kenya,Nairobi,Sugar,KG,141.51,KES,Sample Data
2020-06-01,Kenya,Mombasa,Sugar,KG,133.47,KES,Sample Data
2020-06-01,Kenya,Kisumu,Sugar,KG,141.44,KES,Sample Data
2020-06-01,Kenya,Nakuru,Sugar,KG,138.79,KES,Sample Data
2020-06-01,Kenya,Eldoret,Sugar,KG,129.64,KES,Sample Data
2020-06-01,Kenya,Nairobi,Cooking oil (vegetable),L,292.95,KES,Sample Data
2020-06-01,Kenya,Mombasa,Cooking oil (vegetable),L,302.94,KES,Sample Data
2020-06-01,Kenya,Kisumu,Cooking oil (vegetable),L,290.99,KES,Sample Data
2020-06-01,Kenya,Nakuru,Cooking oil (vegetable),L,290.33,KES,Sample Data
2020-06-01,Kenya,Eldoret,Cooking oil (vegetable),L,280.59,KES,Sample Data
2020-06-01,Kenya,Nairobi,Milk (fresh),L,63.3,KES,Sample Data
2020-06-01,Kenya,Mombasa,Milk (fresh),L,62.93,KES,Sample Data
2020-06-01,Kenya,Kisumu,Milk (fresh),L,61.58,KES,Sample Data
2020-06-01,Kenya,Nakuru,Milk (fresh),L,64.65,KES,Sample Data
2020-06-01,Kenya,Eldoret,Milk (fresh),L,65.21,KES,Sample Data
2020-06-01,Kenya,Nairobi,Eggs,Piece,16.3,KES,Sample Data
2020-06-01,Kenya,Mombasa,Eggs,Piece,16.18,KES,Sample Data
2020-06-01,Kenya,Kisumu,Eggs,Piece,16.37,KES,Sample Data
2020-06-01,Kenya,Nakuru,Eggs,Piece,15.68,KES,Sample Data
2020-06-01,Kenya,Eldoret,Eggs,Piece,15.64,KES,Sample Data
2020-07-01,Kenya,Nairobi,Maize (white),KG,45.78,KES,Sample Data
2020-07-01,Kenya,Mombasa,Maize (white),KG,45.45,KES,Sample Data
2020-07-01,Kenya,Kisumu,Maize (white),KG,46.76,KES,Sample Data
2020-07-01,Kenya,Nakuru,Maize (white),KG,43.87,KES,Sample Data
2020-07-01,Kenya,Eldoret,Maize (white),KG,46.77,KES,Sample Data
2020-07-01,Kenya,Nairobi,Rice,KG,121.1,KES,Sample Data
2020-07-01,Kenya,Mombasa,Rice,KG,115.77,KES,Sample Data
2020-07-01,Kenya,Kisumu,Rice,KG,117.76,KES,Sample Data
2020-07-01,Kenya,Nakuru,Rice,KG,114.25,KES,Sample Data
2020-07-01,Kenya,Eldoret,Rice,KG,126.0,KES,Sample Data
2020-07-01,Kenya,Nairobi,Wheat flour,KG,55.03,KES,Sample Data
2020-07-01,Kenya,Mombasa,Wheat flour,KG,56.59,KES,Sample Data
2020-07-01,Kenya,Kisumu,Wheat flour,KG,52.84,KES,Sample Data
2020-07-01,Kenya,Nakuru,Wheat flour,KG,56.75,KES,Sample Data
2020-07-01,Kenya,Eldoret,Wheat flour,KG,56.17,KES,Sample Data
2020-07-01,Kenya,Nairobi,Beans (dry),KG,108.68,KES,Sample Data
2020-07-01,Kenya,Mombasa,Beans (dry),KG,114.03,KES,Sample Data
2020-07-01,Kenya,Kisumu,Beans (dry),KG,104.43,KES,Sample Data
2020-07-01,Kenya,Nakuru,Beans (dry),KG,113.16,KES,Sample Data
2020-07-01,Kenya,Eldoret,Beans (dry),KG,105.41,KES,Sample Data
2020-07-01,Kenya,Nairobi,Sugar,KG,127.93,KES,Sample Data
2020-07-01,Kenya,Mombasa,Sugar,KG,134.44,KES,Sample Data
2020-07-01,Kenya,Kisumu,Sugar,KG,129.13,KES,Sample Data
2020-07-01,Kenya,Nakuru,Sugar,KG,126.51,KES,Sample Data
2020-07-01,Kenya,Eldoret,Sugar,KG,134.31,KES,Sample Data
2020-07-01,Kenya,Nairobi,Cooking oil (vegetable),L,294.17,KES,Sample Data
2020-07-01,Kenya,Mombasa,Cooking oil (vegetable),L,280.77,KES,Sample Data
2020-07-01,Kenya,Kisumu,Cooking oil (vegetable),L,292.45,KES,Sample Data
2020-07-01,Kenya,Nakuru,Cooking oil (vegetable),L,271.4,KES,Sample Data
2020-07-01,Kenya,Eldoret,Cooking oil (vegetable),L,268.25,KES,Sample Data
2020-07-01,Kenya,Nairobi,Milk (fresh),L,60.5,KES,Sample Data
2020-07-01,Kenya,Mombasa,Milk (fresh),L,60.85,KES,Sample Data
2020-07-01,Kenya,Kisumu,Milk (fresh),L,58.9,KES,Sample Data
2020-07-01,Kenya,Nakuru,Milk (fresh),L,60.84,KES,Sample Data
2020-07-01,Kenya,Eldoret,Milk (fresh),L,61.51,KES,Sample Data
2020-07-01,Kenya,Nairobi,Eggs,Piece,15.5,KES,Sample Data
2020-07-01,Kenya,Mombasa,Eggs,Piece,15.05,KES,Sample Data
2020-07-01,Kenya,Kisumu,Eggs,Piece,14.79,KES,Sample Data
2020-07-01,Kenya,Nakuru,Eggs,Piece,14.24,KES,Sample Data
2020-07-01,Kenya,Eldoret,Eggs,Piece,15.14,KES,Sample Data
2020-08-01,Kenya,Nairobi,Maize (white),KG,42.11,KES,Sample Data
2020-08-01,Kenya,Mombasa,Maize (white),KG,41.29,KES,Sample Data
2020-08-01,Kenya,Kisumu,Maize (white),KG,43.92,KES,Sample Data
2020-08-01,Kenya,Nakuru,Maize (white),KG,43.21,KES,Sample Data
2020-08-01,Kenya,Eldoret,Maize (white),KG,42.75,KES,Sample Data
2020-08-01,Kenya,Nairobi,Rice,KG,119.6,KES,Sample Data
2020-08-01,Kenya,Mombasa,Rice,KG,117.53,KES,Sample Data
2020-08-01,Kenya,Kisumu,Rice,KG,121.9,KES,Sample Data
2020-08-01,Kenya,Nakuru,Rice,KG,121.21,KES,Sample Data
2020-08-01,Kenya,Eldoret,Rice,KG,112.95,KES,Sample Data
2020-08-01,Kenya,Nairobi,Wheat flour,KG,55.94,KES,Sample Data
2020-08-01,Kenya,Mombasa,Wheat flour,KG,52.18,KES,Sample Data
2020-08-01,Kenya,Kisumu,Wheat flour,KG,51.64,KES,Sample Data
2020-08-01,Kenya,Nakuru,Wheat flour,KG,51.11,KES,Sample Data
2020-08-01,Kenya,Eldoret,Wheat flour,KG,51.23,KES,Sample Data
2020-08-01,Kenya,Nairobi,Beans (dry),KG,107.91,KES,Sample Data
2020-08-01,Kenya,Mombasa,Beans (dry),KG,104.61,KES,Sample Data
2020-08-01,Kenya,Kisumu,Beans (dry),KG,106.03,KES,Sample Data
2020-08-01,Kenya,Nakuru,Beans (dry),KG,102.48,KES,Sample Data
2020-08-01,Kenya,Eldoret,Beans (dry),KG,101.18,KES,Sample Data
2020-08-01,Kenya,Nairobi,Sugar,KG,122.74,KES,Sample Data
2020-08-01,Kenya,Mombasa,Sugar,KG,120.22,KES,Sample Data
2020-08-01,Kenya,Kisumu,Sugar,KG,125.16,KES,Sample Data
2020-08-01,Kenya,Nakuru,Sugar,KG,123.87,KES,Sample Data
2020-08-01,Kenya,Eldoret,Sugar,KG,128.28,KES,Sample Data
2020-08-01,Kenya,Nairobi,Cooking oil (vegetable),L,279.11,KES,Sample Data
2020-08-01,Kenya,Mombasa,Cooking oil (vegetable),L,258.19,KES,Sample Data
2020-08-01,Kenya,Kisumu,Cooking oil (vegetable),L,283.56,KES,Sample Data
2020-08-01,Kenya,Nakuru,Cooking oil (vegetable),L,264.39,KES,Sample Data
2020-08-01,Kenya,Eldoret,Cooking oil (vegetable),L,278.23,KES,Sample Data
2020-08-01,Kenya,Nairobi,Milk (fresh),L,56.22,KES,Sample Data
2020-08-01,Kenya,Mombasa,Milk (fresh),L,57.91,KES,Sample Data
2020-08-01,Kenya,Kisumu,Milk (fresh),L,57.17,KES,Sample Data
2020-08-01,Kenya,Nakuru,Milk (fresh),L,59.56,KES,Sample Data
2020-08-01,Kenya,Eldoret,Milk (fresh),L,56.51,KES,Sample Data
2020-08-01,Kenya,Nairobi,Eggs,Piece,15.14,KES,Sample Data
2020-08-01,Kenya,Mombasa,Eggs,Piece,14.55,KES,Sample Data
2020-08-01,Kenya,Kisumu,Eggs,Piece,14.42,KES,Sample Data
2020-08-01,Kenya,Nakuru,Eggs,Piece,14.09,KES,Sample Data
2020-08-01,Kenya,Eldoret,Eggs,Piece,14.31,KES,Sample Data
2020-09-01,Kenya,Nairobi,Maize (white),KG,42.39,KES,Sample Data
2020-09-01,Kenya,Mombasa,Maize (white),KG,42.4,KES,Sample Data
2020-09-01,Kenya,Kisumu,Maize (white),KG,44.99,KES,Sample Data
2020-09-01,Kenya,Nakuru,Maize (white),KG,44.06,KES,Sample Data
2020-09-01,Kenya,Eldoret,Maize (white),KG,43.19,KES,Sample Data
2020-09-01,Kenya,Nairobi,Rice,KG,115.65,KES,Sample Data
2020-09-01,Kenya,Mombasa,Rice,KG,118.35,KES,Sample Data
2020-09-01,Kenya,Kisumu,Rice,KG,110.5,KES,Sample Data
2020-09-01,Kenya,Nakuru,Rice,KG,113.5,KES,Sample Data
2020-09-01,Kenya,Eldoret,Rice,KG,116.11,KES,Sample Data
2020-09-01,Kenya,Nairobi,Wheat flour,KG,55.6,KES,Sample Data
2020-09-01,Kenya,Mombasa,Wheat flour,KG,51.25,KES,Sample Data
2020-09-01,Kenya,Kisumu,Wheat flour,KG,50.86,KES,Sample Data
2020-09-01,Kenya,Nakuru,Wheat flour,KG,50.87,KES,Sample Data
2020-09-01,Kenya,Eldoret,Wheat flour,KG,51.59,KES,Sample Data
2020-09-01,Kenya,Nairobi,Beans (dry),KG,110.08,KES,Sample Data
2020-09-01,Kenya,Mombasa,Beans (dry),KG,105.87,KES,Sample Data
2020-09-01,Kenya,Kisumu,Beans (dry),KG,111.17,KES,Sample Data
2020-09-01,Kenya,Nakuru,Beans (dry),KG,104.46,KES,Sample Data
2020-09-01,Kenya,Eldoret,Beans (dry),KG,110.06,KES,Sample Data
2020-09-01,Kenya,Nairobi,Sugar,KG,121.36,KES,Sample Data
2020-09-01,Kenya,Mombasa,Sugar,KG,127.05,KES,Sample Data
2020-09-01,Kenya,Kisumu,Sugar,KG,125.62,KES,Sample Data
2020-09-01,Kenya,Nakuru,Sugar,KG,121.75,KES,Sample Data
